City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Zalesovo,RU,79.92,clear sky,53.9939,84.7431,Кафе 22rus
633,Dicabisagan,PH,79.23,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
634,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
637,Sukabumi,ID,82.89,broken clouds,-6.9181,106.9267,The Bountie Hotel
638,Tucumcari,US,82.24,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
640,Pendleton,US,81.57,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
647,Caucaia,BR,79.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
648,West Bay,KY,84.0,scattered clouds,19.3667,-81.4167,Calypso Cove
650,Iralaya,HN,79.79,overcast clouds,15.0,-83.2333,Iglesia morava renovada
651,Mahudha,IN,86.18,overcast clouds,22.8167,72.9333,Masala pavbhaji and pulav
662,Jiquilisco,SV,75.42,overcast clouds,13.3167,-88.5833,Canton.rokinte
665,Minbu,MM,81.61,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
666,Kondinskoye,RU,77.88,broken clouds,59.6481,67.41,Gostinitsa
670,Santa Ana,US,86.52,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
673,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
678,Big Rapids,US,75.27,overcast clouds,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
682,Karaton,ID,88.2,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
687,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
688,Kaihua,CN,76.01,broken clouds,23.3687,104.28,Zhongyu Hotel
690,Cabo Rojo,PR,82.67,overcast clouds,18.0866,-67.1457,Hotel Perichi's
691,Majene,ID,83.91,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
695,Awbari,LY,79.92,clear sky,26.5921,12.7805,فندق أوباري
696,Cukai,MY,86.0,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
699,Daokou,CN,86.76,heavy intensity rain,35.5639,114.5058,Shangri-La Hotel
700,Samarai,PG,81.19,scattered clouds,-10.6167,150.6667,Nuli Sapi
701,Gaomi,CN,89.76,overcast clouds,36.3833,119.7528,Hanting Express Gaomi Fenghuang Street
